label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C9,36.0807479,140.0807116,390.076964768515,-251.159035127554,6.37400490064045,0,0,-0.368127131872853,0.928795933203651,2,2,0,0,1,390.076964768515,-251.159035127554,390.150639867226,-251.112132830956,52.7127466219289,0.087337538299546
C9-C15_1,36.0807401,140.0807224,391.048581091146,-252.027327155605,6.4073644527719,0,0,0.052777127418117,0.998336892542141,2,2,0,0,1,391.048581091146,-252.027327155605,391.214965844705,-251.881454207845,52.9933574462871,0.221275401039572
C9-C15_2,36.0807486,140.0807654,394.917053492964,-251.081111483879,6.33699545446963,0,0,0.103662637214789,0.994294579012987,2,2,0,0,1,394.917053492964,-251.081111483879,395.203899845702,-250.997583366379,53.3247561964492,0.298760399805921
C9-C15_3,36.080756,140.0808105,398.974451290138,-250.257347251874,6.25656877083567,0,0,0.246689795057793,0.968771862128327,2,2,0,0,1,398.974451290138,-250.257347251874,399.219652530336,-250.168875145123,53.6427396393422,0.260674052923069
C9-C15_4,36.0807651,140.0808534,402.833927245045,-249.244339885681,6.18683571231785,0,0,0.189167479230453,0.981588360408406,2,2,0,0,1,402.833927245045,-249.244339885681,403.218934842626,-249.316220373346,53.9024805574008,0.391660126515449
C9-C15_5,36.0807796,140.0808936,406.450499118015,-247.630207269299,6.09591660464577,0,0,0.396066533500454,0.917917495552182,2,2,0,0,1,406.450499118015,-247.630207269299,406.885808115134,-247.519488330737,54.3323379875502,0.44916879491907
C9-C15_6,36.0807972,140.0809308,409.797177568316,-245.67098423138,5.95828634507873,0,0,0.165436260886506,0.985832272083281,2,2,0,0,1,409.797177568316,-245.67098423138,410.423984385832,-245.623576259708,54.5968538091408,0.62859709056132
C9-C15_7,36.0808074,140.080974,413.683642863956,-244.535525425466,6.00260982554354,0,0,0.309553809261637,0.950370569764105,2,2,0,0,1,413.683642863956,-244.535525425466,414.265474534682,-244.330712966438,55.0114847974403,0.616827558101878
C9-C15_8,36.0808205,140.081017,417.552115265773,-243.077240095643,6.01470258561889,0,0,0.173839843059533,0.984518668780305,2,2,0,0,1,417.552115265773,-243.077240095643,418.036606783246,-242.904441074941,55.2230871314014,0.514384614912875
C9-C15_9,36.080837,140.0810578,421.222665822766,-241.240468498237,6.03568111794666,0,0,0.148862558073597,0.98831309228888,2,2,0,0,1,421.222665822766,-241.240468498237,421.62075683397,-241.031827237129,55.4597929714268,0.449452588198217
C9-C15_10,36.0808556,140.0810978,424.821244799357,-239.169925969014,6.11705768272264,0,0,0.313341036520211,0.949078478990224,2,2,0,0,1,424.821244799357,-239.169925969014,425.187726583777,-238.983652667221,55.6612501152838,0.411104173261011
C9-C15_11,36.0808786,140.0811351,428.176919696569,-236.609577680906,6.1241338310258,0,0,0.493044109056226,0.869725724231244,2,2,0,0,1,428.176919696569,-236.609577680906,428.33945886351,-236.455643055295,55.7142229989164,0.223863462296749
C9-C15_12,36.0808998,140.0811734,431.622559068004,-234.249604476193,6.18355732877682,0,0,0.526799209316013,0.849657050936971,2,2,0,0,1,431.622559068004,-234.249604476193,431.613753090738,-234.04778435686,55.8787100963491,0.202012142712073
C9-C15_13,36.0809251,140.0812037,434.348482645656,-231.433221358641,6.21417133827994,0,0,0.467503492115026,0.883708539786879,2,2,0,0,1,434.348482645656,-231.433221358641,434.232510686236,-230.990700120404,56.1514474467501,0.457465344766348
C15,36.0809301,140.0812089,434.816297913149,-230.876623905289,6.21935873846147,0,0,0.460313312517572,0.88756434327059,2,2,0,0,1,434.816297913149,-230.876623905289,434.629941760378,-230.49874919396,56.0775207156434,0.421328747105388
