label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C9,36.0807241,140.0807213,390.949620170012,-253.808439008547,6.50442056097576,0,0,0.808829136500641,0.587728525934014,2,2,0,0,1,390.949620170012,-253.808439008547,390.354764617141,-253.420653542384,52.8436121834314,0.710092033857732
C9-C101_1,36.0807277,140.0807163,390.499797798897,-253.407688841754,6.48530639391486,0,0,0.998145761476684,0.049907154299557,2,2,0,0,1,390.499797798897,-253.407688841754,389.93624791081,-253.075550039845,52.7490721657458,0.654144219645722
C9-C101_2,36.0807277,140.0807163,390.499797798897,-253.407688841754,6.4775068796469,0,0,0.999363540219552,-0.001679221045424,2,2,0,0,1,390.499797798897,-253.407688841754,389.852499112656,-253.061826488337,52.7116326482984,0.73390486898522
C9-C101_3,36.0807287,140.0807099,389.924025160801,-253.29636935045,6.49477157970298,0,0,0.999395951622663,0.002914222739968,2,2,0,0,1,389.924025160801,-253.29636935045,389.457838981034,-253.049862058478,52.6742076468938,0.52734751274844
C9-C101_4,36.0807295,140.0807017,389.186316470638,-253.207313758357,6.49218587217408,0,0,0.999549017260945,-0.003198807757785,2,2,0,0,1,389.186316470638,-253.207313758357,388.656869823082,-252.944871275363,52.5741985819097,0.590922845630778
C9-C101_5,36.0807207,140.0806569,385.155908014197,-254.186925276921,6.58954893268346,0,0,0.965072883411327,-0.259712484484212,2,2,0,0,1,385.155908014197,-254.186925276921,384.696741611596,-253.916650536489,52.2965838630928,0.532805987760252
C9-C101_6,36.0807095,140.0806162,381.494353904115,-255.433703574138,6.70021162452645,0,0,0.963337490563278,-0.265842354687967,2,2,0,0,1,381.494353904115,-255.433703574138,380.86370990453,-255.064657055472,52.0033034747241,0.730689528563572
C9-C101_7,36.0806959,140.0805724,377.553909924453,-256.947648649218,6.83358687275831,0,0,0.9637604131673,-0.264213112828961,2,2,0,0,1,377.553909924453,-256.947648649218,377.033323661591,-256.362747588669,51.9622935494811,0.783019353344377
C9-C101_8,36.0806863,140.0805298,373.721423312836,-258.016315760666,6.95500739458826,0,0,0.972475953930374,-0.23006911366467,2,2,0,0,1,373.721423312836,-258.016315760666,373.11707297141,-257.55701107956,51.5164078133797,0.759078471087466
C9-C101_9,36.0806755,140.0804845,369.646032619283,-259.218566261045,7.10091987401552,0,0,0.989944856514483,-0.137346910866514,2,2,0,0,1,369.646032619283,-259.218566261045,369.244985586227,-258.810888104512,51.2922568100215,0.571874288666725
C9-C101_10,36.0806645,140.0804444,366.038457195781,-260.443080659844,7.23376298075188,0,0,0.989395402274649,-0.141108224871065,2,2,0,0,1,366.038457195781,-260.443080659844,365.406610641772,-259.960174925451,50.9517763927449,0.795253428865081
C9-C101_11,36.0806524,140.080401,362.133999003763,-261.790046498364,7.38931981654694,0,0,0.991218210359438,-0.127874411931267,2,2,0,0,1,362.133999003763,-261.790046498364,361.654988399263,-261.455896017544,50.6530639482273,0.584044264636779
C9-C101_12,36.0806409,140.0803588,358.337498182346,-263.070220642418,7.53100811708632,0,0,0.971466120666062,-0.234305970666079,2,2,0,0,1,358.337498182346,-263.070220642418,357.885138763776,-263.068898132917,50.1443418372856,0.452361351798108
C101,36.0806289,140.0803286,355.620571054163,-264.406054531729,7.65401294635289,0,0,0.977455535639108,-0.207531477746164,2,2,0,0,1,355.620571054163,-264.406054531729,355.346809204671,-264.078960117679,50.3494121320916,0.426539923031181
