label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C3,36.0798739,140.0795372,284.42268597457,-348.452270081225,13.2750829813153,0,0,0.251281906506535,-0.967184993952983,2,2,0,0,1,284.42268597457,-348.452270081225,281.821688581096,-343.744771903344,51.9616296058155,5.37826426792232
C3-C6_1,36.0798732,140.0795367,284.377703737458,-348.530193724109,13.2808589168001,0,0,0.24583911958349,-0.968540793628794,2,2,0,0,1,284.377703737458,-348.530193724109,281.861933112426,-343.761161886995,52.0687916308731,5.39191677431952
C3-C6_2,36.0798738,140.0795784,288.129222321763,-348.463402029644,13.2243640739819,0,0,-0.071387498230539,-0.996980627001049,2,2,0,0,1,288.129222321763,-348.463402029644,285.866820294206,-343.639064009597,52.5908286788745,5.32848010843289
C3-C6_3,36.079881,140.079619,291.781779982377,-347.661901696057,13.1711857638411,0,0,-0.185167131248978,-0.982421067734401,2,2,0,0,1,291.781779982377,-347.661901696057,289.83532917028,-342.980571266895,52.9602463147164,5.06986443121662
C3-C6_4,36.0798968,140.0796625,295.695234621306,-345.903053741535,13.0550705624764,0,0,-0.170806183750113,-0.984868580803474,2,2,0,0,1,295.695234621306,-345.903053741535,293.730338526751,-341.589200581925,52.8761055436697,4.74026853090372
C3-C6_5,36.079909,140.0797036,299.392774521589,-344.544955953806,12.9525928612697,0,0,-0.186993081758078,-0.981869890645465,2,2,0,0,1,299.392774521589,-344.544955953806,297.668021940099,-340.469532792841,53.0848452499199,4.42536387298059
C3-C6_6,36.0799217,140.0797477,303.36020784454,-343.13119842082,12.86864462562,0,0,-0.192683211696901,-0.980812447340961,2,2,0,0,1,303.36020784454,-343.13119842082,301.673907151351,-339.273236515181,53.1767375399284,4.21040141711097
C3-C6_7,36.0799359,140.0797885,307.03075840409,-341.550461652066,12.7781517300965,0,0,-0.207576732956469,-0.977749881987399,2,2,0,0,1,307.03075840409,-341.550461652066,305.52743253293,-337.985705367081,53.2869320120366,3.86878224332211
C3-C6_8,36.0799538,140.0798306,310.818262776038,-339.557842766519,12.6762801117969,0,0,-0.287273952312714,-0.957458907114719,2,2,0,0,1,310.818262776038,-339.557842766519,309.20809656621,-336.343117715154,53.1234513672197,3.59542659209539
C3-C6_9,36.0799679,140.0798688,314.254905700562,-337.988237946184,12.5664499498669,0,0,-0.303207541282218,-0.9525978036345,2,2,0,0,1,314.254905700562,-337.988237946184,313.056832048973,-334.956603736418,53.4584757362094,3.25978319163355
C3-C6_10,36.0799879,140.0799087,317.8444882328,-335.761848130403,12.4499412635406,0,0,-0.25703745215933,-0.965941004936455,2,2,0,0,1,317.8444882328,-335.761848130403,316.694402435591,-333.164366413302,53.3170932104302,2.84070565381445
C3-C6_11,36.0800052,140.0799509,321.640989054216,-333.836020940112,12.3264981863127,0,0,-0.266749266053927,-0.963385481390429,2,2,0,0,1,321.640989054216,-333.836020940112,320.343764556859,-331.416362397553,53.2507772919603,2.74545785965145
C3-C6_12,36.0800229,140.0799897,325.131610662763,-331.865665952983,12.2242786815083,0,0,-0.279635221052198,-0.95974021372396,2,2,0,0,1,325.131610662763,-331.865665952983,323.922194180385,-329.583221250937,53.3563328188979,2.58306833934914
C3-C6_13,36.0800395,140.0800283,328.604239374931,-330.017762405576,12.1050725767209,0,0,-0.289670508387871,-0.956705982521454,2,2,0,0,1,328.604239374931,-330.017762405576,327.506791137844,-327.686670807227,53.6180969498226,2.57650551580564
C6,36.0800576,140.0800652,331.923928484499,-328.002879622401,11.9671401747794,0,0,-0.310026805476296,-0.950341490959082,2,2,0,0,1,331.923928484499,-328.002879622401,330.648389446503,-325.833270779064,53.5029667149353,2.516784132686
