label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C7,36.0816089,140.0803436,356.970038170065,-155.312953554496,1.00812228185107,0,0,0.727602666061287,-0.685299273801476,2,2,0,0,1,356.970038170065,-155.312953554496,356.119571164388,-155.384206530087,43.722653567998,0.853446608919557
C7-C100_1,36.0816056,140.0803432,356.934052379865,-155.680307874451,1.02036774579134,0,0,0.221254268749784,-0.9748637770299,2,2,0,0,1,356.934052379865,-155.680307874451,356.125772030032,-155.628858794635,43.8637076676365,0.80991612636146
C7-C100_2,36.0816058,140.0803465,357.230935145823,-155.658043976033,1.00934925057286,0,0,-0.324527435664893,-0.945739217370373,2,2,0,0,1,357.230935145823,-155.658043976033,356.544206062212,-155.459544087852,44.0791730704053,0.714841968469617
C7-C100_3,36.0816119,140.0803505,357.590793042715,-154.978995082168,0.98016629473402,0,0,-0.774387056512549,-0.632421184253026,2,2,0,0,1,357.590793042715,-154.978995082168,356.760067041156,-154.74095554547,44.060543771459,0.86415768856082
C7-C100_4,36.0816191,140.0803442,357.024016854088,-154.177494748582,0.971694996940096,0,0,-0.987024868235809,-0.158445216603545,2,2,0,0,1,357.024016854088,-154.177494748582,356.028808536454,-154.048701417552,43.7972639840966,1.00350750749757
C7-C100_5,36.0816433,140.0803121,354.136157224369,-151.483563071542,0.903608759118517,0,0,-0.940016801151719,-0.340172334494961,2,2,0,0,1,354.136157224369,-151.483563071542,352.996074421734,-151.27834486968,43.3868868352893,1.15840550207606
C7-C100_6,36.0816682,140.080279,351.158333120428,-148.711707750827,0.786194213152403,0,0,-0.932170856722136,-0.361473609723691,2,2,0,0,1,351.158333120428,-148.711707750827,350.148749734129,-148.399881109655,43.1085707809807,1.0566430182595
C7-C100_7,36.0816946,140.0802493,348.486388229356,-145.772873193553,0.625260295386787,0,0,-0.939531970775868,-0.341919045706455,2,2,0,0,1,348.486388229356,-145.772873193553,347.311376165879,-145.572607387057,42.5345099192101,1.19195626705335
C7-C100_8,36.0817204,140.080216,345.490571231593,-142.900830330744,0.526909854491099,0,0,-0.951071915522225,-0.308191319856882,2,2,0,0,1,345.490571231593,-142.900830330744,344.291110233396,-142.798698307492,42.0008101440795,1.20380132761645
C7-C100_9,36.0817437,140.08018,342.251850149337,-140.307086195798,0.412027273349128,0,0,-0.95575525838363,-0.293068891915544,2,2,0,0,1,342.251850149337,-140.307086195798,341.086124822154,-140.18655479272,41.5832910163836,1.17193999742507
C7-C100_10,36.0817656,140.0801454,339.139079334061,-137.869189347411,0.298140939917493,0,0,-0.95745442447171,-0.287534823827459,2,2,0,0,1,339.139079334061,-137.869189347411,337.937256822921,-137.712335955863,41.1739177391187,1.21201498947998
C7-C100_11,36.0817875,140.0801078,335.756415096116,-135.431292499024,0.108013192451641,0,0,-0.964572159267116,-0.262213359446322,2,2,0,0,1,335.756415096116,-135.431292499024,334.710211800021,-135.293382917522,40.7629758732792,1.0552537085598
C7-C100_12,36.0818109,140.0800752,332.823573226729,-132.826416414077,-0.045526665707706,0,0,-0.921121800385535,-0.388763797120748,2,2,0,0,1,332.823573226729,-132.826416414077,331.620796267685,-132.62719686591,40.3419176947693,1.21916399289868
C7-C100_13,36.0818345,140.080041,329.746788201654,-130.199276431503,-0.139053521149209,0,0,-0.996908576474107,-0.071022104386176,2,2,0,0,1,329.746788201654,-130.199276431503,328.457467252044,-130.078775455998,39.8057224007294,1.2949397654719
C7-C100_14,36.081862,140.0800115,327.092836204404,-127.137990434507,-0.263341369226521,0,0,-0.991822262537514,-0.12296525755348,2,2,0,0,1,327.092836204404,-127.137990434507,325.622161528807,-127.151627917111,39.2119025371471,1.47073790403809
C7-C100_15,36.0818888,140.0799775,324.034044073151,-124.154628081186,-0.410006304050035,0,0,-0.946806569811327,-0.320338459117973,2,2,0,0,1,324.034044073151,-124.154628081186,322.736910255917,-124.233295623357,38.7790453819661,1.29951711108464
C7-C100_16,36.0819103,140.079943,320.930269704786,-121.761259029637,-0.532535365300012,0,0,-0.948249278022904,-0.317003081777591,2,2,0,0,1,320.930269704786,-121.761259029637,319.653864329742,-121.566455672673,38.6182987367442,1.29118512589229
C7-C100_17,36.0819345,140.0799079,317.772516652399,-119.067327352597,-0.661086985053513,0,0,-0.950622522579163,-0.309571222321707,2,2,0,0,1,317.772516652399,-119.067327352597,316.488841220006,-118.99363066445,38.0656485610104,1.28578918084284
C7-C100_18,36.081952,140.0798695,314.317880834053,-117.119236263096,-0.734237110643219,0,0,-0.984273436402658,-0.174281059868699,2,2,0,0,1,314.317880834053,-117.119236263096,312.981959780291,-117.016678778788,37.6310121231543,1.33985189460253
C7-C100_19,36.081968,140.0798297,310.737294751283,-115.338124410946,-0.796010761378857,0,0,-0.982948642941085,-0.181441103956226,2,2,0,0,1,310.737294751283,-115.338124410946,309.360612258952,-115.22546413138,37.176096988061,1.38128455550695
C7-C100_20,36.0819734,140.079811,309.054959079221,-114.736999160756,-0.825196926962707,0,0,-0.999357278108855,0.003940057677345,2,2,0,0,1,309.054959079221,-114.736999160756,307.795064038255,-114.736534811648,36.9124455489431,1.25989512653745
C7-C100_21,36.0819708,140.0797954,307.65151327674,-115.026429836246,-0.845336073325158,0,0,-0.99908358551813,-0.032872072977288,2,2,0,0,1,307.65151327674,-115.026429836246,306.652501505466,-114.895513391293,36.9911089996832,1.00755329124685
C100,36.081971,140.0797927,307.408609194804,-115.004165938618,-0.817573344625646,0,0,-0.998403536714056,-0.047935745893483,2,2,0,0,1,307.408609194804,-115.004165938618,306.55648086447,-114.944356679822,36.954435417603,0.854224700412684
